"","Drug_Overdose_Deaths","Alcohol_Impaired_Driving_Deaths","Unemployment_Rate","Income_Inequality","Highschool_Comp_Rate","Adult_Smoking_Rate","Excessive_Drinking_Rate","Median_House_Income","College_Education_Rate","Children_In_Poverty","Single_Parent_House","Social_Associations","Pop_Under_18","Pop_Over_65","NH_Black","American_Or_Alaska_Native","Hispanic_Pop","Female_Pop","Rural_Pop"
"814",10.958708605,0.1914893617,0.0291459059,4.4676624291,0.9290062808,0.173,0.2180641694,62020,0.7131104117,0.198,0.2650755543,11.429185076,0.2157683037,0.1789228856,0.0955217465,0.0043677173,0.0497182861,0.5065861185,0.129666626
"815",NA,0.3571428571,0.0226480836,3.9049191152,0.9517679819,0.164,0.2131381141,74896,0.7017595742,0.095,0.1583997104,13.097331886,0.2041414559,0.2009094667,0.0117629374,0.0054492841,0.0296140404,0.4895711977,0.5316863185
"816",NA,0.2666666667,0.0230654232,3.2259109118,0.9610609823,0.149,0.21630074,83797,0.8007202881,0.061,0.1594151213,15.948327419,0.2239597767,0.1982263748,0.0140148066,0.0030484184,0.0205867216,0.4985945604,0.6334640628
"817",NA,0.2307692308,0.0277069223,3.8459673102,0.9362302075,0.17,0.2272465411,70498,0.6719771242,0.115,0.1281273692,9.6819480079,0.253017283,0.1876508641,0.0078207975,0.0024621029,0.0187312928,0.495703389,0.6707512764
"818",NA,0,0.0233011354,3.5275511665,0.7934124856,0.172,0.1730173469,67552,0.4874155924,0.116,0.1708217913,17.331856916,0.2636893204,0.1704368932,0.0361650485,0.0073300971,0.2786407767,0.4859708738,0.430437497
"819",NA,0.4285714286,0.0278923114,3.8419856612,0.9354267152,0.177,0.1881297311,67233,0.7132537688,0.116,0.140470297,23.025397711,0.2232111571,0.2358259163,0.0039245918,0.0018221319,0.0189922209,0.4968112692,1
"820",NA,0.5555555556,0.0254640647,3.9926539707,0.9391070924,0.179,0.1946546372,64634,0.6331785564,0.123,0.2156133829,24.205748865,0.2126478149,0.2383547558,0.026529563,0.0057583548,0.0241645244,0.4770179949,1
"821",NA,0.5,0.0196639586,4.1030571496,0.9465502555,0.171,0.2002752309,73643,0.6937669377,0.096,0.1468205751,15.948192538,0.2410171634,0.2172898332,0.0121553946,0.0033062673,0.0331112948,0.4984684203,0.5110789981
"822",NA,0.1538461538,0.0246555475,4.8013710368,0.9124733475,0.191,0.1847614056,61204,0.6318739054,0.192,0.1525189786,16.091954023,0.2264194139,0.2347374847,0.0052655678,0.0049603175,0.031517094,0.5066391941,0.4966100404
"823",NA,0.3125,0.0264850549,3.5824927241,0.9556110103,0.167,0.2061138127,71563,0.6515535098,0.085,0.1459798995,11.406844106,0.2106092722,0.2149573346,0.0080439154,0.0028805913,0.026414479,0.4982879504,1
"824",18.859176954,0.4117647059,0.0276825849,3.9667344617,0.937382267,0.168,0.1853843952,63279,0.6302773179,0.147,0.2122073198,17.796094226,0.2067721474,0.2378268764,0.0196892169,0.0038199439,0.0569926195,0.5091843712,0.203283326
"825",NA,0.4444444444,0.0227051573,4.0742320227,0.9318016929,0.186,0.1859266267,65985,0.6496789727,0.124,0.2407114625,14.778753369,0.2221738752,0.2503698547,0.0110521278,0.004438256,0.0517796536,0.5003045862,0.5964144793
"826",NA,0.2,0.0250831067,3.276313187,0.9364344861,0.179,0.2003385464,74077,0.6105651106,0.098,0.1204862353,19.348868512,0.2302833732,0.2289177194,0.0059747354,0.0016217139,0.0311539775,0.4917207238,1
"827",NA,0.1538461538,0.0291417166,4.7328357017,0.8448248534,0.212,0.178441061,65129,0.4614614615,0.153,0.1401606426,7.1538068472,0.2584605861,0.1945934792,0.0117622782,0.0123813454,0.1810771771,0.4898885679,0.4580426754
